id,text,category
4289,6739 4617 753 7505 3713 1509 4801 237 173 3718 6515 5085 5234 2368 237 89 154 5928 6584 1535 5773 8194 4032 7729 3357 6584 7735 8329 8635 7799 6584 4710,1
2433,2002 1698 1089 7654 5141 6532 1132 1944 230 4715 1635 5245 5773 3730 468 1698 6527 6300 8542 4885 254 584 3078 7436 237 224 224 230 4250 5071 1782 7669,0
1845,1782 2734 1444 5795 8542 1295 1872 226 4017 5837 2698 4768 2734 242 3078 5819,0
3237,257 3283 2698 353 6794 5658 3718 2845 175 7091 1189 3078,0
2517,8369 5773 7685 771 3543 6517 696 5107 230 3283 675 2641 8295 230 1698 771 2226 2750 4298 6698 3600 5773 4834 5773 6521 1813 5893 5773 6084 5795 4608 3385 1095 6463 237 3915 1543 6517 1813 4624 1953 8626 2867 2017 254 1984 5781 237 4211 5773,0
4288,6084 6980 3139 5219 2734 647 3283 2698 7027 907 2963 7751,0
1462,1207 7138 3647 4976 2612 4858 6589 4026 3825 8084 7343 2978 3080 5672 1179,0
2786,2297 6084 6243 6517 230 8444 5045 5174 696 6311,0
4000,6377 6700 8253 6527 5045 5922 7889 5773 1908 7858 8406 3298 7490 237 6615 6700 8253 3590 2700 4211 5773 2178 753 1651 3298 127,0
4213,7436 907 5045 2734 2230 7138 7210 3934 3385 307 237 2269 254 7805 3283 2698 1900 3271 3965 5071 6214 1615 3785 4017 224 5461 4108 1226 3409 2963 5045 8075 3485,0
3313,7513 5773 7435 7924 5071 7107 3742 4676 5773,0
2581,4904 2734 8380 5773 5270 6194 237 2697 6254 254,0
1967,4375 2266 3819 2607 5773,0
4606,7880 2734 6927 6835 5672 978 4298 3078,0
2272,3746 4121 4442 3080 4715 7957 4017,0
1512,5776 230 1207 8444 2734 5174 4442 4715,0
3303,5465 3771 2734 5795 5922 8207 584 4017,0
1479,6521 2933 6461 768 5773,0
3712,6451 2698 1679 5326 6589 3337 528 77 5773 6084 6349 8075 2230 8001 5045 5773 6084 4799 5922 3557 1994 8075,0
3002,2977 5290 8542 5239 5819,0
3342,590 7526 2698 7295 1994 307 5773 2297 7526 1041 5094 5773 2186,0
1389,6084 7027 5071 5795 8542 3964 4457 5773,0
1846,5998 6700 8253 6527 5045 5922 6984 5773 1908 7858 8406 4230 7490 237 6615 5773 1908 5773 2178 753 1651 3298 5773,0
3778,8364 651 2734 3291 1444 1708 5773 2925 3759 4871 1651 2269 3193 5773,0
1982,6084 1444 1041 5094 7924 3969 727 5773 2698 1444 4500 5819,0
2926,6407 5726 1545 6268 8063 1902 1777 8403 7777 681 155 7777 5540 3078 7238 5773 1715 5035,0
4426,636 5658 8130 8209 6376 6026 4504 5773 5326 4800 5085 4017 1175 1948 3718 6586 230 7549 4873 6561 230 7139 5065 6895 230 7817 7918 5773 8307 5773 311 5773 4343 5773 5928,1
3068,4415 3283 675 8406 1748 1444 3647 79 5672 4655 6084 5063 7771 1309 5922 1130 3983,0
4436,7908 7663 6300 1844 5773 248 313 5773,0
1154,3898 3160 230 6084 6980 5980 5174 2734 918 5922 5022 7343 2734 7615 203 237 5045 3078 6084 5868 237 5234 5922 3961 237 4277 3283 4211 1410 6794 4298 4537 1994 3751 3882 5143 666 3065 230 4752 5174 2734 5425 6193 6517 886 1994 5045 237 6794 237 224 7470 8542 2672 2231 3078 2048 2734 5869 5045 142 237 6527 6517 3078 188 6527 2734 6349 4675 1095 4121 237 7470 6281 2498 3078 1537 1240 3968 7470 1631 1310 1556 8542 2319 5773 4456 4500 5169 3647 8207 230 8406 7710 7526 5035 2487 7555 5035,0
4300,4858 7685 2889 5348 4211 1556 5045 1179,0
1983,3542 7891 4179 6194 237 2734 5773 1090 2734 253 237 5045 6254 6532 7075,0
3028,6883 4801 4799 2963 8406 1389 6300 2077 7526 4432 7012 4017 2652 843 230 2199 2734 1782 7973,0
3576,3730 203 2910 6794 8600 5869 1651 3078 4878 5071 651 1651 3078,0
3663,3821 5795 237 4912 5708 2629 7957 5773,0
3601,3285 5922 4944 572 8406 7891 5773,0
3029,6448 5071 6331 6413 7894 3078,0
1574,6183 6952 7328 2520,0
3817,3533 2715 230 2229 2982 2963 2901 230 6044 8086 237 6794 1703 224 237 412 2452 230 3283 4211 4349 3647 781 230 1889 4353 1994 2318 230 2812 1698 7622 2269 2867 4658 4017,0
3931,6183 33 5436 8406 474 5773 7152 33 4559 4069 3078,0
2154,8557 230 5795 5071 1226 3013 2582 3324 8406 1481 3078 4518 4608 230 343 5773 3757 5922 8605 6459 5174 2698 6605 8406 2392 4801 5071 4250 230 2698 5063 2269 7785 6619 6517 3530,0
2995,6084 3090 3306 8406 663 6818 6700 3332 2186 2269 4211 1891 8631 6700,0
2246,7685 5326 2372 8203 4369 8380 3129 224 5219 3751 237 7129 6193,0
3298,590 7771 3078 3078 7718 2734 4768 4211 5672 1511 3078 4741 6461 4969 3078,0
1192,6032 5740 4117 224 237 2269 6461 3266 4715 237 6545 4921 4858 1702 2963 5922 5477 1179,0
1130,3542 3751 4580 1309 237 534 2655 5045 310 5773,0
4523,6084 6569 8251 6400 1960 4017 6084 154 4764 6203 8326 8542 4638 5773,0
4777,7685 2230 5922 8207 7525 5397 5773 7685 2230 7561 4608 3385 224 2698 7771 5750 2415 572 1994 5922 2462 3283 6747 8298 5922 4968 1994 3291 224 2698 1588 3225 2698 5750 2698 7929 4662 3283 2698 3759 5773 8364 7953 6193 237 2734 675 2698 6980 8003 224 2698 7982 6527 5773 3285 5922 8207 572 5773,0
3166,7136 2567 4252 3385 3647 8542 2513 2247 3116,0
4424,2925 5234 5922 8444 5773 5128 7829 3825 5773,0
3567,4584 7343 2698 8265 7210 3242 2549 5439 5773,0
3085,5573 3465 753 79 1827 5773 3182 2935 7924 7322 753 5450 991 5773 3656 7982 2912 8014 753 3118 5773 6084 1444 203 6311 5934 4521 7566 8338 5773,0
1641,8641 7813 6461 196 1974 5174 6084 1309 4211 3078,0
1632,1322 1408 4930 8063 6757 2205 171 6084 6687 1947 2453 7442 8301 171 4797 8399 2504 5787 5110 6611 641 7152 5148 6209,0
1225,3577 12 230 4871 5045 6349 518 4211 7357 6257 6311 7860 230 1207 3647 3581 224 2655 8075 572,0
2539,5172 723 3718 4003 3771 3080 237 533 3601 2120 5254 3078,0
3556,2178 753 6298 1652 6700 7152 5508 5045 8298 3078 3447 6425 2195 7168 5373 1597 5373 1878 5373 2309 1056 4047 3479 2969 3234 4663 3746 769 549 271,0
3253,3746 5773 4256 5083 2734 6300 8542 7731,0
1248,6451 4580 5703 7526 1207 203 6537 6671 3771 7526,0
2687,7400 230 2812 486 5551 3468 3581 7924 8542 2930 224 1309 237 6527 8406 474 4608 4297 203 6193 5174 1813 1540 230 2812 3078,0
1187,676 349 230 8406 6843 4017 4456 8203 7475 3078 4904 2734 5887 5045 3078 5270 6527 2734 6527 3078 4904 2734 4493 3476 224 5720 230 1002 3078 188 4938 224 4020 1543 8406 6843 3078,0
2210,3898 5773 4000 5045 7957 753 4580 150 5672 48 5773 3352 2698 1444 5219 8406 3628 224 5869 2734 6700,0
4502,1082 3547 6700 2242 230 2578 2703 5094 6700 853 5335 3547 5678,0
2410,6084 4799 5672 8542 4121 237 3718 7473,0
2558,5270 755 7622 6084 5869 8406 2715 237 3647 6311 3078,0
1299,8235 7532 7343 1698 5795 77 5620 2876 3080 1698 1444 1041 1550 5819,0
4253,1119 7337 1380 7578 4801 5567 1243 7563 1299 6913 2230 5860 237 622 5922 7337 1380 7578 5773 4518 2734 5795 5922 1997 2134 5326 6991 8060 8534 1053 3907 6391 995 5614,1
4705,7685 5795 5044 5922 2058 4321 7578 6589 5954 4026 7337 6043 8143 237 8534 3718 7578 5326 3474 5672 1823 7526 4858 6423 520 1179 5773 7018 5922 2157 5502 4457 4676 6527 5071 7027 3078 3078 3078,1
4036,8364 5418 4069 5773,0
2676,3452 526 1994 7860 4979 7924 956 7526,0
4813,5579 468 2734 2269 4608 2042 224 3594 5773 228 8207,0
1971,4041 1135 6640 1358 5773 4000 5664 6527 2734 5868 237 8182 528 1872 5773,0
2179,228 214 1698 6392 237 5899 8600 4250 142 6343 7526,0
1147,3126 7410 2822 3474 7470 2194 254 6300 1853 210 5819,0
1901,5334 5326 2734 5792 7281 4675 2466 5773,0
1064,1273 2963 5746 761 3934,0
4542,6489 230 203 6311 7950 6700,0
4592,5646 1615 4580 7214 5922 8158 5773 2188 6532 4152 5085 5773,0
1970,8352 572 2734 7295 2655 1903 4457 5773 1090 7532,0
1336,5172 1386 3825 3283 1813 1386 6215 8406 3255 5085 1690 7526 5172 3080 7473 6560 3078,0
1932,7933 557 7158 230 3344 7152 8582 3078 5955 7152 6261 5658 6622 8251 3975 7256 5773,0
2013,775 230 3934 653 7924 3751 7277 7526 1973 7660 4798 5275 8234 5773 7018 2321 307 5817,0
3833,6032 3151 3135 3283 2698 4018 6343 7526 1985 7526 3645 6053 6343 2758 6671 5773 3656 1698 7982 3334 6619 6671 6053 5922 5107 5773 5590 5348 1891 3751 1690 5773 5172 3468 5922 7514 7924 5235 3349 3078,0
1860,414 253 237 2734 4017 2134 3759 2700 8406 5339 5819 2698 5868 237 2199 8075 7924 2734 7526,0
4557,3217 5740 2325 5107 8380 1543 2734 5107 4493 8380 1543 4211,0
4467,2679 6461 8130 8462 3078 6564 1994 5435 237 6924 4438 4920 1352 5069 1280 422 584 4813 5773 4035 5979 2772 5934 5672 6645 7518 6589 6263,1
1465,1458 8298 5071 7526 5046 1740 7526 2686 5071 220 6254 5045 4069 1212 7526 3125 5071 1799 5085 3078 2760 4814 3078,0
2384,3746 5035 4799 79 5672 8542 194 5071 1872 3283 5795 3894 1896 7924 3185 206 4608 5035 4799 3434 8406 474 3581 4017 2087 5071,0
3118,6084 3968 7138 203 4976 230 3220 1540 6311 7860 1189 3078,0
4125,1084 3718 4722 3078,0
1843,1947 3035 6980 6220 5658 7473 5773 1741 4780 4032 7669 8630 433 449 7669,0
1539,5776 230 2620 5620 5773 7880 6527 2734 5868 5045 237 203 5255 3078,0
2529,1080 1207 1041 5094 7924 4211,0
4792,6084 7027 6517 633 6952 4608 2812 1207 3647 4976 2963 4675 8195,0
3017,5819,0
1866,6084 4314 8406 3474 1086 7526 981 230 5245 230 2403 7107 3968 7526 5172 5219 4547 6331 6343 7526,0
2127,2707 4533 6673 5773 6084 5063 6794 3366 237 5300 442 1295 5118 1004 2734 667 3836 5773,0
4306,4083 7094 647 5773 1512 7549 2591 3136 4658 8640,0
3105,2698 4799 1522 5922 459 6300 8542 1686 224 5922 2499 6300 8542 4868 5773 326 6517 2734 3078,0
1302,3746 5551 5234 237 2734 5773 5733 2734 6300 6206 5185 5773,0
4318,4041 5672 5922 4528 4715 1556 3448 2057 4608 1813 3162 5107 4017 4442 7524 6112 6257 4369 2885 2885 4017 1520 3647 6311 387 2086 5773 5837 2734 8432 8542 1580 4755 254 1944 4976 8542 4121 3078,0
3354,3125 5071 1799 7957 3078,0
4721,4518 2734 5348 5922 2105 8639 6300 2655 7860 6379 907 4207 8406 5232 1444 3647 2874 88 6193 5045 6517 5063 5158 4191,0
4381,2707 1994 1295 5773 6546 651 8406 2121 6084 5795 3949,0
1766,2081 6981 5992 5714 6700 4439 7467 4032 7669 1085 8587 2301 4159 5174 4277 753 6300 4211 6700 3656 4211 2301 6547 1812 5174 4277 4888 4211 6700 7669 6369 8301,0
4396,6544 154 4709 3060 1698 6203 4369 5819,0
1744,5905 6192 7707,0
3134,6084 1444 1230 4638 6311 3505 5773 1280 8406 8130 5795 727 5773 7685 4422 2269 8406 4494 5773 6448 5326 2734 6285 4297 3474,0
4818,1774 2698 5795 5773 6448 4533 4662 5071 8091 5773 610 7526 5887 2734 4608 3385,0
1797,5270 7511 5773 6521 142 653 2025 5773,0
3000,6084 5063 2273 2113 489 5071 7526 6084 6222 772 1280 4211 5127 5045 6517 5071 5063 5094 3242 237 1708 5045 7526,0
2338,3293 3283 1813 3080 7473 5085 3771 6794 6177 4463 6343 7526 1390 3080 5658 2858 1782 7526,0
1668,7784 4131 230 8406 7331 753 3027 237 3647 5308 3066 7924 3119,0
4053,8217 2698 6156 5071 3225 4160 5085 7982 220 2768 5773,0
2978,4878 5071 6794 4715 8625 6343 7526,0
1352,4858 3746 5755 5672 5174 2086 230 7341 4026 5774 4559 2540 1179,0
1128,7400 1530 4017 3730 5894 6517 1436 8203 3078 4904 2734 7957 5085 3078 4904 2734 4938 3078 5837 2734 7027 7924 5045 3078 6084 4294 230 8406 579 224 5234 2734 5922 2487 7555 1556 1251 8542 5343,0
4767,5270 2698 651 518 2698 5869 5773 5379 5348 6537 2698 1679 5869 2968 237 2734 5773 7685 2121 3848 237 8406 617 224 7465 5773 1047 1543 5045 5773,0
4246,8376 8203 753 7957 5773,0
2673,3139 4871 5045 6349 6214 6863 3512 1556 2738 6517 572 5773 753 978 5773 1501 4251 5045 4457 5773,0
4448,6084 2805 4357 237 5014,0
3117,6732 4108 8078 1994 4647 572 230 5636 4108 203 6300 5922 1628 4121 5773 7126 2734 942 6254 8542 8515 6518 224 4888 6461 5633 2963 8542 6959 6959 68 5773 1082 256,0
4634,6451 5773 230 753 528 727 237 5071 489 8631 3078 5836 2943 3078,0
2077,590 8623 8623 5773 6084 4752 3601 2103,0
4579,1080 230 8057 4442 4715 6300 8406 1748 4521 911 6300 6545 4921 4608 6084 7615 1309 237 6527 8542 3915 4164 1600,0
3901,6084 918 5922 5620 755 3934 5773 7018 4944 237 6527 3669 5922 8506 6673 1543 8406 5347 1994 5922 8486 5773 3659 8623 1782,0
1946,4130 1388 4032 7168 4083 7168 7152 6026 1047 4406 3656 6084 3332 6101 5915 3452 6631 3932 3457 7652 3746 7070 5298 7152 6026 4916 8406 7168 5773 1082 8157,0
1234,1520 4211 4500 7343 1698 6467 3080 4715 378 2612,0
1442,8258 5773 6084 5929 7860 2848 6300 8542 881 5762 5773 6135 224 1344 5773 6084 4799 305 224 1829 5773 6527 2734 6254 2905 3078,0
1022,6084 5063 6349 230 4678 1872 4533 3964 2180 4841 230 2641 6963 3596 4927 5672 6419 5107 7761 5620 3242 2002,0
1854,2985 753 77 7924 8542 1086 2734 5795 5922 5524 7367 230 1189 3078,0
1541,6084 6843 79 1556 7473 5819,0
3405,1080 5773 2698 1444 5234 6300 7860 2019 5819,0
4476,5012 4858 1598 6584 1809 1179 753 6533 2734 237 3647 1651 2715 5773 1868 8272 4801 1790 6589 5114 4801 1790 3659 1651 4032 209 6155 3078 5983 6155 7702 237 1670,1
2039,4464 6700 4178 5045 2154 1089 5071 3078,0
4144,7526 5052 5813 8406 2480 3480 5255 5773,0
3195,8523 2698 5869 5071 1929 5085 384,0
1699,7879 230 2698 3468 8155 489 6465 1513 4580 6700,0
3634,2279 230 4273 1207 5219 8406 3335 5174 6084 2269 4715,0
3394,1090 2230 5071 6193 4608 6384 3078,0
2861,4477 3934 3462 4017 6084 6828 237 834 2734 5335 4017 6084 738 2734 1444 1041 5620 5094 7924 5045 7526,0
4533,6448 5071 1740 5658 203 1994 3477 4559 8084 5922 5107 3078,0
1144,6292 4580 3601 5819 4426 2734 739 3078,0
1317,2872 1753 4801 7669 6084 1900 4493 6726 6980 8542 5395 3963 1872 5672 2632 7526 3656 230 8542 3963 753 2497 6726 1543 8075 3243 2283 5330 6700 7669,0
4661,6521 2325 5812 7092 1543 6008 135 5085,0
1638,2707 3962 6084 6980 8563 1994 5922 2589,0
2052,6451 7526 1173 7526 7956 1062 5658 2186 3934 7526,0
4643,7685 5795 5373 1436 7805 5773 4035 828,1
2105,676 349 230 6685 5773 3730 5894 6517 572 3078 4456 8203 7475 2540 3078 6084 3798 2734 230 8406 6843 7526 5035 6113 5035 7526 4652,0
3075,922 753 6635 4458 6517 753 806 8298 5922 7598 7924 681 7526 231 7526 230 1912 7526 230 8627 7526 1280 2784 7526 3285 6532 1789 922 7526,0
2044,590 3286 7526 7623 7526 6800 6341 4253 5672 2940 8600 7614 1395 7526,0
3971,2183 5107 3080 7116 4069 5773,0
2928,1047 237 5099 5773 4442 6983 4008 2269 4211 5773,0
3748,2657 7526 106 7526 6122 922 237 5045,0
1822,4034 4017 3730 5894 6517 572 3078 5270 2230 2734 1799 3078 1273 2230 2734 3078 6084 7681 8406 1683 224 7027 7924 2734 230 8406 6843 7526 6084 5234 5922 7555 237 2734 1556 1251 8542 5343,0
4594,6084 7027 2611 5700 2269 77 2455 5819,0
3093,1774 1698 5746 259 1994 6254 5658 3284 5773 6521 6084 3848 8406 3894 756 237 4294 3751 6193 4207 4211 6203 2963 5373 4799,0
3005,3332 7526 4442 3474 7526,0
2169,470 7526 6084 4462 1818 237 6461 1753 254 5636 4017 6084 3798 2734 3934 230 8406 1765 5773 6084 6277 6461 572 5894 5335 224 2734 2230 4938 5773 6084 3092 1994 7538 237 3647 2867 378,0
1675,3805 147 7108 7152 8399 2504,0
3726,2404 8380 3283 5922 8506 1819 7526 7152 7811 6794 1845 6232 5085 1600 4297 4986 341 7526,0
2206,3776 8542 5343 230 7957 4075 5922 34 5773 7167 8542 34 230 7957 753 6532 2201 5773 7167 8542 2201 230 7957 753 5922 4722 5773 5643 8542 4722 230 7957 2230 5713 1753 7526 4521,0
2136,7685 2963 5452 3078 7685 7622 6781 237 5137 3581 142 3385 2582 388 4108 1994 7698 224 4803 230 4096 224 6084 2230 3366 237 5137 3581 3477 3603 3430,0
4123,1906 753 624 6300 154 5658 2767 4032 7354 4801 1114 7792 4211 7526 6066 4801 1060 4114 4211 7526,0
2282,5607 5608 4543 112 1063 3468 8203 6700,0
2263,2707 4017 7784 8265 3934 5121 343 5773 7018 5620 237 8138 7473 3283 907 1226 6976 5922 1418 1656 5773 4982 3718 572 1226 3078 7718 5071 6527 2968 1543 6205 3078,0
2285,7436 4017 7685 5551 1369 237 5605 6378 5773 4226 6254 237 6349 7343 2734 5746 4241 1543 8542 4212 5773 1868 4506 5247 1543 1774 6589 3746 5773,0
1742,590 2073 3547 3547 6700 4166 5565 982 2578 7532,0
3106,3533 5239,0
2559,1774 5773 6517 1444 3647 1827 5773 1765 2734 5773 5597 695 5773,0
4662,6491 7570 5448 4032 3730 3385 2734 4748 1280 3313 6461 6843 237 4277 7526 6517 3385 4211 1444 7642 5174 1240 150 2734 6589 2734 2269 452 7526 4017 3469 7494 3078 3078 3214 5792 7526,0
3385,7784 230 4751 5773 7880 7622 6084 1968 8542 7815 8334 4973 4298 3078,0
1759,63 5071 653 653 7448 7924 8542 572 6700 6726 3298 2660 6700,0
4645,676 572 237 7685 6207 1994 6382 8542 4874 8298 907 2285 789 1095 1631 5773,0
2003,7436 5773 4442 4139 2698 460 6461 5326 5773 3332 2734 8253 5326 4715 5773,0
3886,3746 3347 2540 5773 5270 2230 2734 1799 3078,0
1381,7152 6927 3668 8205 5045 310 3797,0
3511,3746 4871 5045 6527 8542 5325 5773 5573 5107 5620 2963 4211 5773,0
3517,427 3283 2698 7 5071 3225 2698 6125 7526 4878 5071 220 1740 5045 4069 7526,0
4752,1080 5773 6084 1444 7519 4211 378,0
2804,6084 3384 8065 142 2975 2734 2230 6517 4442 7744 4487 4976 124,0
4633,2707 230 3286 2734 3468 5922 2715 1994 8542 500 3078,0
3524,3922 3656 4236 4032 7669 5597 5922 5620 2440 230 3283 3759 6781 237 6266 4211 6700 7669 5773 1082 124 7526,0
1587,3332 2186 5326 5045 2963 5617 237 4768 6983 7986 486 8571 6193 7526,0
2439,4518 6084 2269 7957 518 2734 6537 6461 2726 5524 4813 224 1398 4608 4500 5045 2877,0
1870,205 5746 8406 3749 4520,0
4127,7743 7259 7185 5573 4034 8552 5514 1940 3708 3872,1
3694,1489 8380 230 3771 918 4559 3078,0
2036,6084 5063 2273 2113 489 5071 7526 6084 6222 772 1280 4211 5127 5045 6517 5071 5063 5094 3242 237 1708 5045 7526,0
3386,7520 7552 5143 6785 5922 4538 183 254 3983 1462 6373 6193 2963 8075,0
4680,6448 142 2230 2734 7771 5773 5270 2230 2734 6193 237 5773 1084 8542 3371 5773 6521 4608 5672 5773,0
2335,1796 6758 4944 1436 6879 224 8542 154 1872 6084 3968 279 3751 237 753 5822 8212 5407 2476 5407 2734 6300 5452 3078,0
1958,228 4207 6461 4245 5773 6084 4222 237 3647 2690 5773,0
1298,1774 6084 3277 5922 4029 7924 5213 5672 5964 5773 3120 7982 4908 259 3934 5773 4442 5551 1818 6193 5819,0
